open,high,low,close,volume,datetime
192.065,192.12,192.04,192.12,99745,2023-12-27 16:47:00
192.1272,192.18,192.115,192.145,98662,2023-12-27 16:48:00
192.15,192.15,192.03,192.0475,67100,2023-12-27 16:49:00
192.0499,192.1,192.02,192.1,76125,2023-12-27 16:50:00
192.095,192.18,192.095,192.125,125102,2023-12-27 16:51:00
192.12,192.145,192.07,192.075,73268,2023-12-27 16:52:00
192.08,192.09,192.03,192.0408,65505,2023-12-27 16:53:00
192.04,192.045,191.935,191.95,66427,2023-12-27 16:54:00
191.96,191.98,191.935,191.98,81945,2023-12-27 16:55:00
191.98,192.09,191.98,192.06,57325,2023-12-27 16:56:00
192.05,192.08,192.03,192.06,30755,2023-12-27 16:57:00
192.065,192.08,192.03,192.04,49402,2023-12-27 16:58:00
192.0699,192.15,192.025,192.1442,55179,2023-12-27 16:59:00
192.15,192.1783,192.1111,192.1441,75767,2023-12-27 17:00:00
192.15,192.18,192.121,192.165,65669,2023-12-27 17:01:00
192.16,192.24,192.16,192.23,84296,2023-12-27 17:02:00
192.2201,192.23,192.16,192.1842,87802,2023-12-27 17:03:00
192.18,192.24,192.13,192.23,196799,2023-12-27 17:04:00
192.23,192.32,192.19,192.31,65341,2023-12-27 17:05:00
192.315,192.315,192.27,192.295,51500,2023-12-27 17:06:00
192.3,192.309,192.245,192.25,36288,2023-12-27 17:07:00
192.2462,192.2462,192.15,192.195,71344,2023-12-27 17:08:00
192.195,192.225,192.145,192.22,46433,2023-12-27 17:09:00
192.22,192.23,192.1947,192.215,36929,2023-12-27 17:10:00
192.215,192.24,192.2049,192.23,28129,2023-12-27 17:11:00
192.2278,192.23,192.19,192.215,34841,2023-12-27 17:12:00
192.2101,192.24,192.21,192.225,34365,2023-12-27 17:13:00
192.225,192.31,192.225,192.275,62157,2023-12-27 17:14:00
192.275,192.33,192.275,192.31,39210,2023-12-27 17:15:00
192.3098,192.32,192.26,192.2991,115228,2023-12-27 17:16:00
192.3,192.37,192.29,192.35,54957,2023-12-27 17:17:00
192.35,192.35,192.2901,192.3166,27007,2023-12-27 17:18:00
